,Name,Year,Position,Appearances,Wins,Losses,Nationality,Goals,Headed Goals,Right Footed Goals,Left Footed Goals,Hit Woodwork,Goals per Match,Penalties Scored,Freekicks Scored,Shots,Shots on Target,Shooting Accuracy,Big Chances Missed,Tackles,Blocked Shots,Interceptions,Clearances,Headed Clearances,Tackle Success,Recoveries,Duels Won,Duels Lost,Successful 50/50s,Aerials Battles Won,Aerial Battles Lost,Clean Sheets,Goals Conceded,Own Goals,Errors Lead to a Goal,Last Man Tackles,Clearances Off the Line,Assists,Passes,Passes per Game,Big Chances,Crosses,Cross Accuracy,Through Balls,Accurate Long Balls,Goalie Goals,Yellows,Reds,Fouls,Offsides,Saves,Penalties Saved,Punches,High claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
185,Zurab Khizanishvili,2007,Defender,13,6,3,Georgia,0,0,0,0,0,,,,,,,,23,1,22,118,26,61,68,40,28,1,10,5,3,12,0,1,0,0,0,332,25.54,0,2,50,0,43,,2,0,17,0,,,,,,,,
186,Nigel Quashie,2007,Midfielder,0,0,0,Scotland,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
187,Manucho,2007,Forward,0,0,0,Angola,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
188,Victor Anichebe,2007,Forward,27,12,8,Nigeria,1,0,1,0,0,0.04,0,0,23,8,35,0,21,6,6,8,3,,,,,,,,,,,,,,1,265,9.81,0,11,,,,,1,0,25,7,,,,,,,,
189,Shaun Maloney,2007,Midfielder,22,9,7,Scotland,4,0,4,0,1,0.18,0,1,35,11,31,0,19,9,14,12,1,84,64,54,77,14,3,8,,,,0,,,1,317,14.41,0,28,29,3,15,,0,0,5,6,,,,,,,,
190,Phil Bardsley,2007,Defender,11,5,5,Scotland,0,0,0,0,0,,,,,,,,47,1,20,90,18,81,42,73,38,4,6,9,4,10,0,0,0,0,0,314,28.55,0,22,5,0,16,,3,0,14,0,,,,,,,,
191,Ryan Babel,2007,Midfielder,30,17,4,Netherlands,4,0,3,1,0,0.13,0,0,46,12,26,0,27,13,19,10,1,70,95,105,145,52,7,13,,,,0,,,3,498,16.6,0,46,20,2,14,,1,0,29,6,,,,,,,,
192,Tom Craddock,2007,Forward,3,0,3,England,0,0,0,0,0,0.0,0,0,4,2,50,0,0,0,1,0,0,,,,,,,,,,,,,,0,24,8.0,0,0,,,,,0,0,2,0,,,,,,,,
193,Leroy Lita,2007,Forward,14,3,10,England,1,1,0,0,0,0.07,0,0,25,8,32,0,5,7,2,5,0,,,,,,,,,,,,,,2,187,13.36,0,7,,,,,1,0,13,10,,,,,,,,
194,Craig Lindfield,2007,Forward,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
195,Michael Ball,2007,Defender,28,11,10,England,0,0,0,0,0,,,,,,,,53,1,39,192,43,75,112,94,59,6,22,12,3,35,0,1,0,1,0,784,28.0,0,40,23,0,41,,2,0,12,0,,,,,,,,
196,Johann Smith,2007,Forward,0,0,0,United States,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
197,Grzegorz Rasiak,2007,Forward,7,1,5,Poland,0,0,0,0,1,0.0,0,0,6,3,50,0,2,1,0,3,0,,,,,,,,,,,,,,0,99,14.14,0,8,,,,,1,0,11,3,,,,,,,,
198,Emre,2007,Midfielder,14,4,7,Turkey,1,0,0,1,0,0.07,0,0,9,2,22,0,25,3,10,13,0,68,43,42,42,3,2,1,,,,0,,,4,339,24.21,0,32,28,0,34,,2,0,15,0,,,,,,,,
199,David Dunn,2007,Midfielder,31,13,9,England,1,0,0,1,2,0.03,0,0,41,5,12,0,53,13,36,44,8,77,144,122,146,30,2,15,,,,0,,,3,815,26.29,0,29,17,1,67,,6,1,46,1,,,,,,,,
200,Nacer Barazite,2007,Forward,0,0,0,Netherlands,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
201,Ivar Ingimarsson,2007,Defender,35,9,20,Iceland,2,1,1,0,0,,,,,,,,97,4,34,430,144,69,127,206,113,2,75,43,8,57,1,0,0,0,0,618,17.66,0,3,0,0,44,,6,0,31,1,,,,,,,,
202,Darren Ward,2007,Goalkeeper,3,1,1,Wales,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,0,,,0,46,15.33,,,,,18,0,0,0,0,,9,0,4,3,7,0,8,29
203,El Hadji Diouf,2007,Midfielder,34,9,18,Senegal,4,0,4,0,1,0.12,0,1,42,20,48,0,32,7,21,21,3,75,184,182,240,61,14,12,,,,0,,,6,911,26.79,0,292,23,8,35,,11,0,45,25,,,,,,,,
204,Borja Oubiña,2007,Midfielder,2,1,0,Spain,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,,,,0,,,0,5,2.5,0,0,0,0,0,,0,0,0,0,,,,,,,,
205,Daniel Agger,2007,Defender,5,3,0,Denmark,0,0,0,0,0,,,,,,,,5,1,9,58,13,80,12,21,11,0,6,6,2,2,0,0,0,1,0,177,35.4,0,0,0,0,32,,0,0,3,0,,,,,,,,
206,Paul Huntington,2007,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
207,Tal Ben Haim,2007,Defender,13,6,2,Israel,0,0,0,0,0,,,,,,,,25,1,14,117,32,84,75,51,39,3,17,11,3,11,0,0,0,0,0,539,41.46,0,0,0,0,56,,2,0,13,0,,,,,,,,
208,Habib Beye,2007,Defender,29,9,14,Senegal,1,1,0,0,1,,,,,,,,95,2,50,226,59,78,173,164,70,15,25,9,4,46,0,0,1,1,2,863,29.76,0,69,22,0,32,,5,0,12,0,,,,,,,,
209,Gerardo Bruna,2007,Midfielder,0,0,0,Argentina,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
210,Kazenga LuaLua,2007,Forward,2,0,1,The Democratic Republic Of Congo,0,0,0,0,0,0.0,0,0,1,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,0,9,4.5,0,0,,,,,0,0,1,0,,,,,,,,
211,Stephen Carr,2007,Defender,10,1,5,Ireland,0,0,0,0,0,,,,,,,,11,0,18,42,10,82,51,19,18,0,4,3,2,17,0,0,0,0,0,318,31.8,0,9,33,0,11,,0,0,7,0,,,,,,,,
212,Nuno Valente,2007,Defender,9,5,1,Portugal,0,0,0,0,0,,,,,,,,21,0,14,49,14,67,37,41,27,3,8,4,4,4,0,0,0,0,1,214,23.78,0,25,12,0,25,,1,0,9,0,,,,,,,,
213,Matty Pattison,2007,Midfielder,0,0,0,South Africa,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
214,Lee Molyneux,2007,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
215,Sam Hutchinson,2007,Midfielder,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
216,Paris Simmons,2007,Forward,1,0,1,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,6,6.0,0,1,,,,,0,0,0,0,,,,,,,,
217,Colin Doyle,2007,Goalkeeper,3,0,2,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,2,,,0,69,23.0,,,,,20,0,1,0,1,,9,0,1,7,6,0,4,39
218,Cristiano Ronaldo,2007,Forward,34,25,3,Portugal,31,5,20,5,5,0.91,4,4,174,77,44,0,29,43,14,24,2,,,,,,,,,,,,,,6,1126,33.12,0,118,,,,,5,1,14,11,,,,,,,,
219,Celestine Babayaro,2007,Defender,0,0,0,Nigeria,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
