,Name,Club,Year,Position,Nationality
463,Ross Barkley,Chelsea,2018,Midfielder,England
464,Tiemoue Bakayoko,Chelsea,2018,Midfielder,France
465,Kyle Scott,Chelsea,2018,Midfielder,United States
466,Dujon Sterling,Chelsea,2018,Midfielder,England
467,Ruben Loftus-Cheek,Chelsea,2018,Midfielder,England
468,Kenedy,Chelsea,2018,Midfielder,Brazil
469,Jeremie Boga,Chelsea,2018,Midfielder,Cote D'Ivoire
470,Charly Musonda,Chelsea,2018,Midfielder,Belgium
471,Jorginho,Chelsea,2018,Midfielder,Italy
472,Lucas Piazon,Chelsea,2018,Midfielder,Brazil
473,Kasey Palmer,Chelsea,2018,Midfielder,England
474,Mario Pasalic,Chelsea,2018,Midfielder,Croatia
475,Mateo Kovacic,Chelsea,2018,Midfielder,Croatia
476,George McEachran,Chelsea,2018,Midfielder,England
477,Christian Pulisic,Chelsea,2018,Midfielder,United States
478,Lewis Baker,Chelsea,2018,Midfielder,England
479,Marco van Ginkel,Chelsea,2018,Midfielder,Netherlands
480,Alvaro Morata,Chelsea,2018,Forward,Spain
481,Eden Hazard,Chelsea,2018,Forward,Belgium
482,Pedro,Chelsea,2018,Forward,Spain
483,Olivier Giroud,Chelsea,2018,Forward,France
484,Willian,Chelsea,2018,Forward,Brazil
485,Callum Hudson-Odoi,Chelsea,2018,Forward,England
486,Michy Batshuayi,Chelsea,2018,Forward,Belgium
487,Tammy Abraham,Chelsea,2018,Forward,England
488,Isaiah Brown,Chelsea,2018,Forward,England
489,Gonzalo Higuain,Chelsea,2018,Forward,Argentina
490,Robert Elliot,Newcastle United,2018,Goalkeeper,Ireland
491,Martin Dubravka,Newcastle United,2018,Goalkeeper,Slovakia
492,Karl Darlow,Newcastle United,2018,Goalkeeper,England
493,Freddie Woodman,Newcastle United,2018,Goalkeeper,England
494,Matz Sels,Newcastle United,2018,Goalkeeper,Belgium
495,Nathan Harker,Newcastle United,2018,Goalkeeper,England
496,Ciaran Clark,Newcastle United,2018,Defender,Ireland
497,Paul Dummett,Newcastle United,2018,Defender,Wales
498,Jamaal Lascelles,Newcastle United,2018,Defender,England
499,Chancel Mbemba,Newcastle United,2018,Defender,The Democratic Republic Of Congo
500,Javier Manquillo,Newcastle United,2018,Defender,Spain
501,Florian Lejeune,Newcastle United,2018,Defender,France
502,DeAndre Yedlin,Newcastle United,2018,Defender,United States
503,Massadio Haidara,Newcastle United,2018,Defender,Mali
504,Jesus Gamez,Newcastle United,2018,Defender,Spain
505,Achraf Lazaar,Newcastle United,2018,Defender,Morocco
506,Jamie Sterry,Newcastle United,2018,Defender,England
507,Fabian Schar,Newcastle United,2018,Defender,Switzerland
508,Federico Fernandez,Newcastle United,2018,Defender,Argentina
509,Antonio Barreca,Newcastle United,2018,Defender,Italy
510,Lewis Cass,Newcastle United,2018,Defender,England
511,Jacob Murphy,Newcastle United,2018,Midfielder,England
512,Jonjo Shelvey,Newcastle United,2018,Midfielder,England
513,Mohamed Diame,Newcastle United,2018,Midfielder,Senegal
514,Matt Ritchie,Newcastle United,2018,Midfielder,Scotland
515,Isaac Hayden,Newcastle United,2018,Midfielder,England
516,Kenedy,Newcastle United,2018,Midfielder,Brazil
517,Mikel Merino,Newcastle United,2018,Midfielder,Spain
518,Christian Atsu,Newcastle United,2018,Midfielder,Ghana
519,Jack Colback,Newcastle United,2018,Midfielder,England
520,Rolando Aarons,Newcastle United,2018,Midfielder,England
521,Henri Saivet,Newcastle United,2018,Midfielder,Senegal
522,Daniel Barlaser,Newcastle United,2018,Midfielder,England
523,Ki Sung-Yueng,Newcastle United,2018,Midfielder,South Korea
524,Sean Longstaff,Newcastle United,2018,Midfielder,England
525,Callum Roberts,Newcastle United,2018,Midfielder,England
526,Miguel Almiron,Newcastle United,2018,Midfielder,Paraguay
527,Kelland Watts,Newcastle United,2018,Midfielder,England
528,Dwight Gayle,Newcastle United,2018,Forward,England
529,Islam Slimani,Newcastle United,2018,Forward,Algeria
530,Ayoze Perez,Newcastle United,2018,Forward,Spain
531,Joselu,Newcastle United,2018,Forward,Spain
532,Adam Armstrong,Newcastle United,2018,Forward,England
533,Aleksandar Mitrovic,Newcastle United,2018,Forward,Serbia
534,Yoshinori Muto,Newcastle United,2018,Forward,Japan
535,Salomon Rondon,Newcastle United,2018,Forward,Venezuela
536,David de Gea,Manchester United,2018,Goalkeeper,Spain
537,Sergio Romero,Manchester United,2018,Goalkeeper,Argentina
538,Joel Pereira,Manchester United,2018,Goalkeeper,Portugal
539,Sam Johnstone,Manchester United,2018,Goalkeeper,England
540,Lee Grant,Manchester United,2018,Goalkeeper,England
541,Kieran O'Hara,Manchester United,2018,Goalkeeper,Ireland
542,Matej Kovar,Manchester United,2018,Goalkeeper,Czech Republic
543,Victor Lindelof,Manchester United,2018,Defender,Sweden
544,Eric Bailly,Manchester United,2018,Defender,Cote D'Ivoire
545,Phil Jones,Manchester United,2018,Defender,England
546,Marcos Rojo,Manchester United,2018,Defender,Argentina
547,Chris Smalling,Manchester United,2018,Defender,England
548,Daley Blind,Manchester United,2018,Defender,Netherlands
549,Ashley Young,Manchester United,2018,Defender,England
550,Luke Shaw,Manchester United,2018,Defender,England
551,Luis Antonio Valencia,Manchester United,2018,Defender,Ecuador
552,Matteo Darmian,Manchester United,2018,Defender,Italy
553,Diogo Dalot,Manchester United,2018,Defender,Portugal
554,Timothy Fosu-Mensah,Manchester United,2018,Defender,Netherlands
555,Demetri Mitchell,Manchester United,2018,Defender,England
556,Axel Tuanzebe,Manchester United,2018,Defender,England
557,Ro-Shaun Williams,Manchester United,2018,Defender,England
558,Paul Pogba,Manchester United,2018,Midfielder,France
559,Juan Mata,Manchester United,2018,Midfielder,Spain
560,Jesse Lingard,Manchester United,2018,Midfielder,England
561,Michael Carrick,Manchester United,2018,Midfielder,England
562,Ander Herrera,Manchester United,2018,Midfielder,Spain
563,Marouane Fellaini,Manchester United,2018,Midfielder,Belgium
564,Nemanja Matic,Manchester United,2018,Midfielder,Serbia
565,Scott McTominay,Manchester United,2018,Midfielder,Scotland
566,Angel Gomes,Manchester United,2018,Midfielder,England
567,Fred,Manchester United,2018,Midfielder,Brazil
568,Andreas Pereira,Manchester United,2018,Midfielder,Brazil
569,Tahith Chong,Manchester United,2018,Midfielder,Netherlands
570,James Garner,Manchester United,2018,Midfielder,England
571,Ethan Hamilton,Manchester United,2018,Midfielder,Scotland
572,Alexis Sanchez,Manchester United,2018,Forward,Chile
573,Romelu Lukaku,Manchester United,2018,Forward,Belgium
574,Anthony Martial,Manchester United,2018,Forward,France
575,Marcus Rashford,Manchester United,2018,Forward,England
576,Joshua Bohui,Manchester United,2018,Forward,England
577,Mason Greenwood,Manchester United,2018,Forward,England
578,Artur Boruc,AFC Bournemouth,2018,Goalkeeper,Poland
579,Asmir Begovic,AFC Bournemouth,2018,Goalkeeper,Bosnia And Herzegovina
580,Adam Federici,AFC Bournemouth,2018,Goalkeeper,Australia
581,Aaron Ramsdale,AFC Bournemouth,2018,Goalkeeper,England
582,Mark Travers,AFC Bournemouth,2018,Goalkeeper,Ireland
583,Simon Francis,AFC Bournemouth,2018,Defender,England
584,Steve Cook,AFC Bournemouth,2018,Defender,England
585,Nathan Ake,AFC Bournemouth,2018,Defender,Netherlands
586,Charlie Daniels,AFC Bournemouth,2018,Defender,England
587,Brad Smith,AFC Bournemouth,2018,Defender,Australia
588,Adam Smith,AFC Bournemouth,2018,Defender,England
589,Tyrone Mings,AFC Bournemouth,2018,Defender,England
590,Jack Simpson,AFC Bournemouth,2018,Defender,England
591,Rhoys Wiggins,AFC Bournemouth,2018,Defender,Wales
592,Baily Cargill,AFC Bournemouth,2018,Defender,England
593,Shaun Hobson,AFC Bournemouth,2018,Defender,England
594,Diego Rico,AFC Bournemouth,2018,Defender,Spain
595,Nathaniel Clyne,AFC Bournemouth,2018,Defender,England
596,Chris Mepham,AFC Bournemouth,2018,Defender,Wales
597,Corey Jordan,AFC Bournemouth,2018,Defender,England
598,Dan Gosling,AFC Bournemouth,2018,Midfielder,England
599,Andrew Surman,AFC Bournemouth,2018,Midfielder,England
600,Marc Pugh,AFC Bournemouth,2018,Midfielder,England
601,Harry Arter,AFC Bournemouth,2018,Midfielder,Ireland
602,Lewis Cook,AFC Bournemouth,2018,Midfielder,England
603,Junior Stanislas,AFC Bournemouth,2018,Midfielder,England
604,Emerson Hyndman,AFC Bournemouth,2018,Midfielder,United States
605,Ryan Fraser,AFC Bournemouth,2018,Midfielder,Scotland
606,Jordon Ibe,AFC Bournemouth,2018,Midfielder,England
607,Matt Butcher,AFC Bournemouth,2018,Midfielder,England
608,Kyle Taylor,AFC Bournemouth,2018,Midfielder,England
609,Connor Mahoney,AFC Bournemouth,2018,Midfielder,England
610,David Brooks,AFC Bournemouth,2018,Midfielder,Wales
611,Ben Whitfield,AFC Bournemouth,2018,Midfielder,England
612,Jefferson Lerma,AFC Bournemouth,2018,Midfielder,Colombia
613,Mihai-Alexandru Dobre,AFC Bournemouth,2018,Midfielder,Romania
614,Nnamdi Ofoborh,AFC Bournemouth,2018,Midfielder,Nigeria
615,Callum Wilson,AFC Bournemouth,2018,Forward,England
616,Joshua King,AFC Bournemouth,2018,Forward,Norway
617,Jermain Defoe,AFC Bournemouth,2018,Forward,England
618,Lys Mousset,AFC Bournemouth,2018,Forward,France
619,Mikael Ndjoli,AFC Bournemouth,2018,Forward,England
620,Lewis Grabban,AFC Bournemouth,2018,Forward,England
621,Dominic Solanke,AFC Bournemouth,2018,Forward,England
622,Sam Surridge,AFC Bournemouth,2018,Forward,England
623,Claudio Bravo,Manchester City,2018,Goalkeeper,Chile
624,Ederson,Manchester City,2018,Goalkeeper,Brazil
625,Daniel Grimshaw,Manchester City,2018,Goalkeeper,England
626,Arijanet Muric,Manchester City,2018,Goalkeeper,Kosovo
627,Kyle Walker,Manchester City,2018,Defender,England
628,Danilo,Manchester City,2018,Defender,Brazil
629,Vincent Kompany,Manchester City,2018,Defender,Belgium
630,John Stones,Manchester City,2018,Defender,England
631,Aymeric Laporte,Manchester City,2018,Defender,France
632,Benjamin Mendy,Manchester City,2018,Defender,France
633,Tosin Adarabioyo,Manchester City,2018,Defender,England
634,Nicolas Otamendi,Manchester City,2018,Defender,Argentina
635,Demeaco Duhaney,Manchester City,2018,Defender,England
636,Pablo Maffeo,Manchester City,2018,Defender,Spain
637,Oleksandr Zinchenko,Manchester City,2018,Defender,Ukraine
638,Erik Palmer-Brown,Manchester City,2018,Defender,United States
639,Eliaquim Mangala,Manchester City,2018,Defender,France
640,Jason Denayer,Manchester City,2018,Defender,Belgium
641,Eric Garcia,Manchester City,2018,Defender,Spain
642,Cameron Humphreys-Grant,Manchester City,2018,Defender,England
643,Tyreke Wilson,Manchester City,2018,Defender,Ireland
644,Nathanael Ogbeta,Manchester City,2018,Defender,England
645,Philippe Sandler,Manchester City,2018,Defender,Netherlands
646,Ilkay Gundogan,Manchester City,2018,Midfielder,Germany
647,Kevin De Bruyne,Manchester City,2018,Midfielder,Belgium
648,Fabian Delph,Manchester City,2018,Midfielder,England
649,Bernardo Silva,Manchester City,2018,Midfielder,Portugal
650,David Silva,Manchester City,2018,Midfielder,Spain
651,Fernandinho,Manchester City,2018,Midfielder,Brazil
652,Yaya Toure,Manchester City,2018,Midfielder,Cote D'Ivoire
653,Phil Foden,Manchester City,2018,Midfielder,England
654,Tom Dele-Bashiru,Manchester City,2018,Midfielder,Nigeria
655,Patrick Roberts,Manchester City,2018,Midfielder,England
656,Aleix Garcia,Manchester City,2018,Midfielder,Spain
657,Douglas Luiz,Manchester City,2018,Midfielder,Brazil
658,Jack Harrison,Manchester City,2018,Midfielder,England
659,Iker Pozo,Manchester City,2018,Midfielder,Spain
660,Benjamin Garre,Manchester City,2018,Midfielder,Argentina
661,Luke Bolton,Manchester City,2018,Midfielder,England
662,Adrian Bernabe,Manchester City,2018,Midfielder,Spain
663,Claudio Gomes,Manchester City,2018,Midfielder,France
664,Daniel Arzani,Manchester City,2018,Midfielder,Australia
665,Felix Nmecha,Manchester City,2018,Midfielder,England
666,Raheem Sterling,Manchester City,2018,Forward,England
667,Sergio Aguero,Manchester City,2018,Forward,Argentina
668,Leroy Sane,Manchester City,2018,Forward,Germany
669,Gabriel Jesus,Manchester City,2018,Forward,Brazil
670,Lukas Nmecha,Manchester City,2018,Forward,Germany
671,Brahim Diaz,Manchester City,2018,Forward,Spain
672,Olarenwaju Kayode,Manchester City,2018,Forward,Nigeria
673,Riyad Mahrez,Manchester City,2018,Forward,Algeria
674,Nabili Zoubdi Touaizi,Manchester City,2018,Forward,Spain
675,Rabbi Matondo,Manchester City,2018,Forward,Wales
676,Marlos Moreno,Manchester City,2018,Forward,Colombia
677,Taylor Richards,Manchester City,2018,Forward,England
678,Ian Carlo Poveda-Ocampo,Manchester City,2018,Forward,England
679,Loris Karius,Liverpool,2018,Goalkeeper,Germany
680,Simon Mignolet,Liverpool,2018,Goalkeeper,Belgium
681,Adam Bogdan,Liverpool,2018,Goalkeeper,Hungary
682,Danny Ward,Liverpool,2018,Goalkeeper,Wales
683,Caoimhin Kelleher,Liverpool,2018,Goalkeeper,Ireland
684,Kamil Grabara,Liverpool,2018,Goalkeeper,Poland
685,Alisson,Liverpool,2018,Goalkeeper,Brazil
686,Nathaniel Clyne,Liverpool,2018,Defender,England
687,Virgil van Dijk,Liverpool,2018,Defender,Netherlands
688,Dejan Lovren,Liverpool,2018,Defender,Croatia
689,Joseph Gomez,Liverpool,2018,Defender,England
690,Ragnar Klavan,Liverpool,2018,Defender,Estonia
691,Alberto Moreno,Liverpool,2018,Defender,Spain
692,Andrew Robertson,Liverpool,2018,Defender,Scotland
693,Joel Matip,Liverpool,2018,Defender,Cameroon
694,Connor Randall,Liverpool,2018,Defender,England
695,Conor Masterson,Liverpool,2018,Defender,Ireland
696,Trent Alexander-Arnold,Liverpool,2018,Defender,England
697,Jon Flanagan,Liverpool,2018,Defender,England
698,Nathaniel Phillips,Liverpool,2018,Defender,England
699,George Johnston,Liverpool,2018,Defender,Scotland
700,Ki-Jana Hoever,Liverpool,2018,Defender,Netherlands
701,Georginio Wijnaldum,Liverpool,2018,Midfielder,Netherlands
702,James Milner,Liverpool,2018,Midfielder,England
703,Jordan Henderson,Liverpool,2018,Midfielder,England
704,Marko Grujic,Liverpool,2018,Midfielder,Serbia
705,Adam Lallana,Liverpool,2018,Midfielder,England
706,Alex Oxlade-Chamberlain,Liverpool,2018,Midfielder,England
707,Emre Can,Liverpool,2018,Midfielder,Germany
708,Curtis Jones,Liverpool,2018,Midfielder,England
709,Paulo Alves,Liverpool,2018,Midfielder,Portugal
710,Rafael Camacho,Liverpool,2018,Midfielder,Portugal
711,Fabinho,Liverpool,2018,Midfielder,Brazil
712,Naby Keita,Liverpool,2018,Midfielder,Guinea
713,Lazar Markovic,Liverpool,2018,Midfielder,Serbia
714,Ovie Ejaria,Liverpool,2018,Midfielder,England
715,Sheyi Ojo,Liverpool,2018,Midfielder,England
716,Harry Wilson,Liverpool,2018,Midfielder,Wales
717,Allan,Liverpool,2018,Midfielder,Brazil
718,Ryan Kent,Liverpool,2018,Midfielder,England
719,Pedro Chirivella,Liverpool,2018,Midfielder,Spain
720,Isaac Christie-Davies,Liverpool,2018,Midfielder,Wales
721,Herbie Kane,Liverpool,2018,Midfielder,England
722,Ben Woodburn,Liverpool,2018,Forward,Wales
723,Roberto Firmino,Liverpool,2018,Forward,Brazil
724,Mohamed Salah,Liverpool,2018,Forward,Egypt
725,Sadio Mane,Liverpool,2018,Forward,Senegal
726,Danny Ings,Liverpool,2018,Forward,England
727,Dominic Solanke,Liverpool,2018,Forward,England
728,Rhian Brewster,Liverpool,2018,Forward,England
729,Daniel Sturridge,Liverpool,2018,Forward,England
730,Divock Origi,Liverpool,2018,Forward,Belgium
731,Taiwo Awoniyi,Liverpool,2018,Forward,Nigeria
732,Xherdan Shaqiri,Liverpool,2018,Forward,Switzerland
733,Alex McCarthy,Southampton,2018,Goalkeeper,England
734,Stuart Taylor,Southampton,2018,Goalkeeper,England
735,Fraser Forster,Southampton,2018,Goalkeeper,England
736,Harry Lewis,Southampton,2018,Goalkeeper,England
737,Angus Gunn,Southampton,2018,Goalkeeper,England
738,Cedric Soares,Southampton,2018,Defender,Portugal
739,Maya Yoshida,Southampton,2018,Defender,Japan
740,Jack Stephens,Southampton,2018,Defender,England
741,Wesley Hoedt,Southampton,2018,Defender,Netherlands
742,Ryan Bertrand,Southampton,2018,Defender,England
743,Jeremy Pied,Southampton,2018,Defender,France
744,Jan Bednarek,Southampton,2018,Defender,Poland
745,Sam McQueen,Southampton,2018,Defender,England
746,Florin Gardos,Southampton,2018,Defender,Romania
747,Matt Targett,Southampton,2018,Defender,England
748,Yan Valery,Southampton,2018,Defender,France
749,Alfie Jones,Southampton,2018,Defender,England
750,Jannik Vestergaard,Southampton,2018,Defender,Denmark
751,Kayne Ramsay,Southampton,2018,Defender,England
752,Steven Davis,Southampton,2018,Midfielder,Northern Ireland
753,Dusan Tadic,Southampton,2018,Midfielder,Serbia
754,Oriol Romeu,Southampton,2018,Midfielder,Spain
755,James Ward-Prowse,Southampton,2018,Midfielder,England
756,Mario Lemina,Southampton,2018,Midfielder,Gabon
757,Sofiane Boufal,Southampton,2018,Midfielder,Morocco
758,Nathan Redmond,Southampton,2018,Midfielder,England
759,Pierre-Emile Hjbjerg,Southampton,2018,Midfielder,Denmark
760,Josh Sims,Southampton,2018,Midfielder,England
761,Jake Hesketh,Southampton,2018,Midfielder,England
762,Stuart Armstrong,Southampton,2018,Midfielder,Scotland
763,Jordy Clasie,Southampton,2018,Midfielder,Netherlands
764,Mohamed Elyounoussi,Southampton,2018,Midfielder,Norway
765,Harrison Reed,Southampton,2018,Midfielder,England
766,Jake Flannigan,Southampton,2018,Midfielder,England
767,Tyreke Johnson,Southampton,2018,Midfielder,England
768,Callum Slattery,Southampton,2018,Midfielder,England
769,Shane Long,Southampton,2018,Forward,Ireland
770,Guido Carrillo,Southampton,2018,Forward,Argentina
771,Charlie Austin,Southampton,2018,Forward,England
772,Manolo Gabbiadini,Southampton,2018,Forward,Italy
773,Michael Obafemi,Southampton,2018,Forward,Ireland
774,Sam Gallagher,Southampton,2018,Forward,England
775,Danny Ings,Southampton,2018,Forward,England
776,Marcus Barnes,Southampton,2018,Forward,England
777,Mat Ryan,Brighton and Hove Albion,2018,Goalkeeper,Australia
778,Niki Maenpaa,Brighton and Hove Albion,2018,Goalkeeper,Finland
779,Tim Krul,Brighton and Hove Albion,2018,Goalkeeper,Netherlands
780,Jason Steele,Brighton and Hove Albion,2018,Goalkeeper,England
781,David Button,Brighton and Hove Albion,2018,Goalkeeper,England
782,Robert Sanchez,Brighton and Hove Albion,2018,Goalkeeper,Spain
783,Bruno,Brighton and Hove Albion,2018,Defender,Spain
784,Gaetan Bong,Brighton and Hove Albion,2018,Defender,Cameroon
785,Uwe Hunemeier,Brighton and Hove Albion,2018,Defender,Germany
786,Lewis Dunk,Brighton and Hove Albion,2018,Defender,England
787,Connor Goldson,Brighton and Hove Albion,2018,Defender,England
788,Ezequiel Schelotto,Brighton and Hove Albion,2018,Defender,Italy
789,Shane Duffy,Brighton and Hove Albion,2018,Defender,Ireland
790,Liam Rosenior,Brighton and Hove Albion,2018,Defender,England
791,Markus Suttner,Brighton and Hove Albion,2018,Defender,Austria
792,Ales Mateju,Brighton and Hove Albion,2018,Defender,Czech Republic
793,Leon Balogun,Brighton and Hove Albion,2018,Defender,Nigeria
794,Bernardo,Brighton and Hove Albion,2018,Defender,Brazil
795,Ben White,Brighton and Hove Albion,2018,Defender,England
796,Martin Montoya,Brighton and Hove Albion,2018,Defender,Spain
797,Dan Burn,Brighton and Hove Albion,2018,Defender,England
798,Ben Barclay,Brighton and Hove Albion,2018,Defender,England
799,Tudor Baluta,Brighton and Hove Albion,2018,Defender,Romania
800,Leo Ostigard,Brighton and Hove Albion,2018,Defender,Norway
801,Dale Stephens,Brighton and Hove Albion,2018,Midfielder,England
802,Beram Kayal,Brighton and Hove Albion,2018,Midfielder,Israel
803,Jiri Skalak,Brighton and Hove Albion,2018,Midfielder,Czech Republic
804,Anthony Knockaert,Brighton and Hove Albion,2018,Midfielder,France
805,Pascal Gro,Brighton and Hove Albion,2018,Midfielder,Germany
806,Steve Sidwell,Brighton and Hove Albion,2018,Midfielder,England
807,Solly March,Brighton and Hove Albion,2018,Midfielder,England
808,Davy Propper,Brighton and Hove Albion,2018,Midfielder,Netherlands
809,Des Hutchinson,Brighton and Hove Albion,2018,Midfielder,Ireland
810,Jayson Molumby,Brighton and Hove Albion,2018,Midfielder,Ireland
811,Max Sanders,Brighton and Hove Albion,2018,Midfielder,England
812,Mathias Normann,Brighton and Hove Albion,2018,Midfielder,Norway
813,Oliver Norwood,Brighton and Hove Albion,2018,Midfielder,Northern Ireland
814,Rohan Ince,Brighton and Hove Albion,2018,Midfielder,England
815,Soufyan Ahannach,Brighton and Hove Albion,2018,Midfielder,Netherlands
816,Yves Bissouma,Brighton and Hove Albion,2018,Midfielder,Mali
817,Billy Arce,Brighton and Hove Albion,2018,Midfielder,Ecuador
818,Will Collar,Brighton and Hove Albion,2018,Midfielder,England
819,Alexis Mac Allister,Brighton and Hove Albion,2018,Midfielder,Argentina
820,Sam Baldock,Brighton and Hove Albion,2018,Forward,England
821,Tomer Hemed,Brighton and Hove Albion,2018,Forward,Israel
822,Leonardo Ulloa,Brighton and Hove Albion,2018,Forward,Argentina
823,Glenn Murray,Brighton and Hove Albion,2018,Forward,England
824,Jose Izquierdo,Brighton and Hove Albion,2018,Forward,Colombia
825,Jurgen Locadia,Brighton and Hove Albion,2018,Forward,Netherlands
826,Aaron Connolly,Brighton and Hove Albion,2018,Forward,Ireland
827,James Tilley,Brighton and Hove Albion,2018,Forward,England
828,Florin Andone,Brighton and Hove Albion,2018,Forward,Romania
829,Richard Towell,Brighton and Hove Albion,2018,Forward,Ireland
830,Percy Tau,Brighton and Hove Albion,2018,Forward,South Africa
831,Alireza Jahanbakhsh,Brighton and Hove Albion,2018,Forward,Iran
832,Viktor Gyokeres,Brighton and Hove Albion,2018,Forward,Sweden
833,Jan Mlakar,Brighton and Hove Albion,2018,Forward,Slovenia
