,Name,Club,Year,Position,Nationality
238,Barry Douglas,Wolverhampton Wanderers,2018,Defender,Scotland
239,Ryan Bennett,Wolverhampton Wanderers,2018,Defender,England
240,Danny Batth,Wolverhampton Wanderers,2018,Defender,England
241,Conor Coady,Wolverhampton Wanderers,2018,Defender,England
242,Phil Ofosu-Ayeh,Wolverhampton Wanderers,2018,Defender,Ghana
243,Roderick Miranda,Wolverhampton Wanderers,2018,Defender,Portugal
244,Ruben Vinagre,Wolverhampton Wanderers,2018,Defender,Portugal
245,Kortney Hause,Wolverhampton Wanderers,2018,Defender,England
246,Oskar Buur,Wolverhampton Wanderers,2018,Defender,Denmark
247,Willy Boly,Wolverhampton Wanderers,2018,Defender,France
248,Sylvain Deslandes,Wolverhampton Wanderers,2018,Defender,France
249,Connor Johnson,Wolverhampton Wanderers,2018,Defender,England
250,Cameron John,Wolverhampton Wanderers,2018,Defender,England
251,Jonny,Wolverhampton Wanderers,2018,Defender,Spain
252,Maximilian Kilman,Wolverhampton Wanderers,2018,Defender,England
253,Ethan Ebanks-Landell,Wolverhampton Wanderers,2018,Defender,England
254,Alfred N'Diaye,Wolverhampton Wanderers,2018,Midfielder,Senegal
255,Ruben Neves,Wolverhampton Wanderers,2018,Midfielder,Portugal
256,Jordan Graham,Wolverhampton Wanderers,2018,Midfielder,England
257,Diogo Jota,Wolverhampton Wanderers,2018,Midfielder,Portugal
258,Morgan Gibbs-White,Wolverhampton Wanderers,2018,Midfielder,England
259,Romain Saiss,Wolverhampton Wanderers,2018,Midfielder,Morocco
260,Pote,Wolverhampton Wanderers,2018,Midfielder,Portugal
261,Ben Stevenson,Wolverhampton Wanderers,2018,Midfielder,England
262,Ben Marshall,Wolverhampton Wanderers,2018,Midfielder,England
263,Connor Ronan,Wolverhampton Wanderers,2018,Midfielder,Ireland
264,Daniel Armstrong,Wolverhampton Wanderers,2018,Midfielder,Scotland
265,Prince Oniangue,Wolverhampton Wanderers,2018,Midfielder,Congo
266,Ryan Giles,Wolverhampton Wanderers,2018,Midfielder,England
267,Elliot Watt,Wolverhampton Wanderers,2018,Midfielder,Scotland
268,Pedro Pereira,Wolverhampton Wanderers,2018,Midfielder,Portugal
