Name,Year,Position,Appearances,Wins,Losses,Nationality,Goals,Headed Goals,Right Footed Goals,Left Footed Goals,Hit Woodwork,Goals per Match,Penalties Scored,Freekicks Scored,Shots,Shots on Target,Shooting Accuracy,Big Chances Missed,Tackles,Blocked Shots,Interceptions,Clearances,Headed Clearances,Tackle Success,Recoveries,Duels Won,Duels Lost,Successful 50/50s,Aerials Battles Won,Aerial Battles Lost,Clean Sheets,Goals Conceded,Own Goals,Errors Lead to a Goal,Last Man Tackles,Clearances Off the Line,Assists,Passes,Passes per Game,Big Chances,Crosses,Cross Accuracy,Through Balls,Accurate Long Balls,Goalie Goals,Yellows,Reds,Fouls,Offsides,Saves,Penalties Saved,Punches,High claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
Jean Beausejour,2011,Midfielder,16,8,4,Chile,0,0,0,0,0,0.0,0,0,6,3,50,2,15,1,26,20,4,80,66,56,58,7,10,9,,,,0,,,5,599,37.44,2,141,28,3,13,,1,0,14,5,,,,,,,,
Aaron Wilbraham,2011,Forward,11,2,6,England,1,0,1,0,0,0.09,0,0,11,6,55,0,1,1,1,1,1,,,,,,,,,,,,,,1,99,9.0,0,3,,,,,1,0,6,2,,,,,,,,
Jermain Defoe,2011,Forward,25,12,8,England,11,0,9,2,2,0.44,0,0,66,26,39,9,18,16,5,3,0,,,,,,,,,,,,,,1,291,11.64,1,11,,,,,2,0,13,12,,,,,,,,
Paul Dummett,2011,Defender,0,0,0,Wales,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Juan Mata,2011,Midfielder,34,16,9,Spain,6,0,0,6,4,0.18,0,0,65,24,37,4,25,10,20,6,1,76,140,85,120,30,0,3,,,,0,,,13,1486,43.71,11,236,26,20,92,,2,0,17,16,,,,,,,,
Thibaut Courtois,2011,Goalkeeper,0,0,0,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
Eirik Holmen Johansen,2011,Goalkeeper,0,0,0,Norway,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
Cheick Touré,2011,Defender,0,0,0,Cote D'Ivoire,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Marc Albrighton,2011,Midfielder,26,5,10,England,2,0,2,0,1,0.08,0,0,22,6,27,2,41,8,32,18,1,68,114,80,99,17,4,14,,,,0,,,2,452,17.38,7,163,23,2,16,,3,0,20,1,,,,,,,,
Chris Chantler,2011,Midfielder,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Ciaran Clark,2011,Defender,15,3,6,Ireland,1,0,0,1,0,,,,,,,,40,2,29,33,11,75,67,65,47,6,8,12,1,21,0,0,0,0,2,536,35.73,2,5,20,0,17,,3,0,11,0,,,,,,,,
Gilles Sunu,2011,Forward,0,0,0,Togo,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
Ryan Giggs,2011,Midfielder,25,18,3,Wales,2,0,0,2,1,0.08,0,0,19,10,53,2,28,4,30,10,3,64,114,67,100,22,4,8,,,,2,,,8,1011,40.44,11,97,25,11,60,,3,0,20,1,,,,,,,,
Elliot Parish,2011,Goalkeeper,0,0,0,England,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jazz Richards,2011,Defender,8,1,3,Wales,0,0,0,0,0,,,,,,,,20,0,11,16,3,70,38,27,31,1,2,7,2,7,0,0,0,0,0,370,46.25,1,13,23,0,20,,4,0,9,0,,,,,,,,
Stephen Warnock,2011,Defender,35,7,12,England,2,0,0,2,2,,,,,,,,81,1,103,145,47,68,144,170,115,21,36,20,8,45,1,2,1,3,2,1229,35.11,2,92,18,1,108,,6,0,35,3,,,,,,,,
Joey Barton,2011,Midfielder,33,10,15,England,3,0,3,0,0,0.09,0,0,48,12,25,3,94,14,59,42,11,70,210,189,178,17,18,36,,,,0,,,3,1648,49.94,5,190,23,4,147,,10,2,47,4,,,,,,,,
Emmerson Boyce,2011,Defender,26,9,11,Barbados,3,1,2,0,2,,,,,,,,37,1,34,72,15,81,51,92,79,9,33,21,7,31,0,0,3,0,1,760,29.23,1,67,30,0,17,,3,0,20,1,,,,,,,,
Cheick Tioté,2011,Midfielder,24,11,6,Cote D'Ivoire,0,0,0,0,0,0.0,0,0,29,7,24,0,67,10,60,33,11,67,211,146,202,18,24,33,,,,0,,,1,1402,58.42,1,22,14,6,96,,11,0,57,0,,,,,,,,
John Egan,2011,Defender,0,0,0,Ireland,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Yohan Cabaye,2011,Midfielder,34,17,9,France,4,1,3,0,3,0.12,0,1,51,19,37,2,117,11,89,34,2,71,181,151,120,10,2,5,,,,1,,,6,1451,42.68,9,133,29,28,95,,7,0,34,0,,,,,,,,
Joan Román,2011,Midfielder,0,0,0,Spain,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Liam McAlinden,2011,Forward,0,0,0,Northern Ireland,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
Hatem Ben Arfa,2011,Midfielder,26,13,9,France,5,0,0,5,1,0.19,0,0,34,11,32,0,22,9,9,4,0,82,70,96,140,52,1,9,,,,0,,,5,576,22.15,6,52,19,9,44,,2,0,15,2,,,,,,,,
